IDX,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,AMT_ANNUITY,AMT_CREDIT,DAYS_BIRTH,NAME_EDUCATION_TYPE,OCCUPATION_TYPE,TARGET
227,F,N,Y,90000,23107.5,593010,-19032,Lower secondary,Cooking staff,1
228,F,N,Y,171000,45108,675000,-19026,Secondary / secondary special,,0
229,F,N,Y,135000,6714,61128,-14164,Secondary / secondary special,Laborers,0
230,F,Y,Y,103500,15952.5,490500,-12567,Higher education,,0
231,F,N,N,103500,21847.5,414792,-10045,Secondary / secondary special,Laborers,0
232,F,Y,Y,67500,26316,9.00E+05,-18003,Secondary / secondary special,Sales staff,0
233,M,N,Y,67500,8316,142632,-15332,Secondary / secondary special,Laborers,0
234,M,N,Y,112500,35847,331632,-11982,Secondary / secondary special,Low-skill Laborers,0
235,F,Y,N,112500,40122,946980,-22525,Secondary / secondary special,,0
236,M,N,Y,112500,22387.5,690048,-10265,Secondary / secondary special,Drivers,0
237,F,Y,Y,184500,22599,284400,-13991,Secondary / secondary special,Sales staff,0
238,F,Y,Y,202500,51421.5,1350000,-17773,Secondary / secondary special,Core staff,0
239,M,Y,Y,225000,48586.5,1762110,-10728,Higher education,Managers,0
240,F,N,Y,112500,25195.5,646920,-13281,Secondary / secondary special,Sales staff,1
241,M,N,N,202500,39163.5,921330,-16506,Higher education,Managers,0
242,M,Y,Y,234000,47794.5,1125000,-22495,Secondary / secondary special,,0
243,M,N,Y,202500,15336,229500,-10573,Higher education,Core staff,0
244,F,N,Y,252000,24075,358344,-19708,Higher education,Managers,0
245,M,Y,Y,247500,37885.5,695970,-13747,Secondary / secondary special,Core staff,0
246,F,N,Y,180000,10129.5,153576,-15366,Secondary / secondary special,Laborers,0
247,M,Y,Y,157500,29839.5,640080,-19406,Secondary / secondary special,Drivers,0
248,M,Y,Y,112500,22500,450000,-23308,Secondary / secondary special,,0
249,F,N,Y,112500,14256,276277.5,-15009,Secondary / secondary special,Medicine staff,0
250,M,N,Y,216000,36459,755190,-14912,Secondary / secondary special,,0
251,M,N,Y,225000,40945.5,379008,-10665,Higher education,Cooking staff,0
252,M,Y,Y,391500,26217,808650,-16790,Secondary / secondary special,Managers,0
253,F,N,Y,202500,36517.5,569398.5,-18640,Secondary / secondary special,Sales staff,0
254,F,N,Y,67500,10813.5,283419,-23759,Secondary / secondary special,,0
255,M,N,N,180000,41584.5,1507500,-16472,Academic degree,,0
256,M,Y,N,382500,52857,1096020,-11640,Higher education,Drivers,0
257,M,N,N,157500,25492.5,889515,-16257,Higher education,,0
258,M,N,Y,112500,16447.5,177903,-14981,Secondary / secondary special,Security staff,0
259,F,N,N,135000,26640,545040,-16003,Secondary / secondary special,Laborers,0
260,M,Y,Y,180000,18000,360000,-11340,Higher education,Laborers,0
261,M,Y,Y,112500,37800,1288350,-22644,Secondary / secondary special,,0
262,F,N,Y,90000,16294.5,450000,-17230,Secondary / secondary special,High skill tech staff,0
263,F,N,N,180000,9000,180000,-9531,Secondary / secondary special,Sales staff,0
264,F,N,N,202500,46858.5,473760,-22174,Higher education,,0
265,F,N,Y,83250,39681,1442952,-15871,Secondary / secondary special,Core staff,0
266,F,N,N,202500,29250,585000,-9508,Higher education,Sales staff,0
267,M,Y,Y,360000,33682.5,1147500,-14452,Higher education,Sales staff,0
268,F,N,Y,144000,33394.5,755190,-18729,Secondary / secondary special,,0
269,M,N,N,180000,22977,450000,-20363,Secondary / secondary special,Laborers,0
270,F,Y,Y,135000,42552,536917.5,-10709,Higher education,,0
271,M,N,Y,292500,43659,550980,-19402,Secondary / secondary special,Drivers,1
272,F,N,Y,225000,8464.5,161730,-16014,Secondary / secondary special,,0
273,M,Y,Y,247500,48528,947884.5,-17452,Secondary / secondary special,Laborers,0
274,F,Y,Y,180000,16960.5,157500,-10551,Higher education,Sales staff,1
275,F,N,Y,405000,14661,454500,-14778,Higher education,Laborers,0
276,F,N,Y,135000,40054.5,781920,-23167,Secondary / secondary special,,0
277,F,N,N,180000,43978.5,1065681,-18985,Secondary / secondary special,Managers,0
278,F,Y,Y,135000,32904,995643,-12726,Secondary / secondary special,Medicine staff,0
279,M,N,N,90000,11421,215640,-12323,Secondary / secondary special,Security staff,0
280,F,N,Y,112500,47794.5,1125000,-22416,Secondary / secondary special,,0
281,F,Y,Y,87750,12888,121500,-22822,Secondary / secondary special,,0
282,M,Y,Y,216000,26991,255829.5,-15306,Secondary / secondary special,,0
283,F,N,Y,135000,13500,270000,-14502,Lower secondary,,0
284,F,N,Y,67500,23539.5,296280,-9536,Secondary / secondary special,Sales staff,0
285,M,N,Y,81000,17253,352044,-11526,Secondary / secondary special,,0
286,F,N,N,135000,35685,450000,-9113,Incomplete higher,Core staff,0
287,F,Y,N,675000,22018.5,450000,-13612,Higher education,Managers,0
288,M,N,N,112500,18688.5,276277.5,-9438,Incomplete higher,HR staff,0
289,F,N,Y,90000,35451,1212426,-20782,Higher education,Sales staff,0
290,F,Y,N,90000,3303,56880,-24032,Higher education,,0
291,F,N,Y,112500,40063.5,1006920,-21334,Secondary / secondary special,,0
292,F,Y,Y,675000,72607.5,2085120,-19306,Higher education,Managers,0
293,M,N,Y,157500,25519.5,787086,-18045,Secondary / secondary special,Drivers,0
294,F,N,Y,112500,58500,1575000,-21904,Higher education,,0
295,F,N,Y,67500,23814,495000,-19091,Secondary / secondary special,Medicine staff,0
296,F,Y,Y,166500,36139.5,592560,-13206,Higher education,Sales staff,0
297,F,N,N,269100,65475,689607,-14804,Higher education,Accountants,0
298,M,N,Y,292500,40284,1137042,-12954,Higher education,Managers,0
299,F,Y,Y,67500,23773.5,808650,-21659,Lower secondary,,0
300,F,N,Y,157500,25839,280332,-17066,Secondary / secondary special,Core staff,0
301,M,Y,Y,157500,29655,298512,-18826,Secondary / secondary special,Drivers,0
302,F,Y,N,202500,6750,135000,-19139,Secondary / secondary special,Accountants,0
303,F,N,Y,112500,17797.5,417024,-20062,Secondary / secondary special,,0
304,F,N,N,180000,37809,1293165,-20524,Secondary / secondary special,,0
305,F,N,N,202500,42642,1546020,-14437,Secondary / secondary special,,0
306,M,Y,Y,382500,69754.5,733315.5,-14794,Secondary / secondary special,Private service staff,0
307,F,N,N,94500,27630,945000,-23617,Secondary / secondary special,,0
308,M,Y,Y,157500,5580,85320,-24489,Higher education,Laborers,0
309,F,N,Y,90000,16056,422451,-14553,Secondary / secondary special,Drivers,0
310,F,N,Y,67500,31828.5,886176,-14573,Secondary / secondary special,,0
311,M,Y,N,270000,47965.5,781920,-13418,Secondary / secondary special,Drivers,0
312,F,N,N,72000,26086.5,808650,-10097,Secondary / secondary special,Sales staff,0
313,F,N,Y,382500,90918,1404108,-21514,Higher education,,0
314,F,N,N,171000,34465.5,675000,-11349,Secondary / secondary special,Sales staff,0
315,M,Y,Y,180000,15228,400500,-18610,Secondary / secondary special,Drivers,1
316,F,N,N,135000,8550,314100,-19809,Secondary / secondary special,,1
317,F,Y,N,67500,37669.5,1288350,-13582,Secondary / secondary special,Laborers,0
318,M,Y,N,135000,18369,417024,-14680,Higher education,Managers,0
319,F,N,Y,99000,16753.5,168102,-18639,Higher education,Laborers,0
320,M,Y,Y,292500,40320,835380,-15893,Higher education,Managers,0
321,F,N,N,72000,24543,450000,-10968,Secondary / secondary special,Sales staff,0
322,F,N,Y,135000,25618.5,248760,-24692,Higher education,,0
323,M,Y,Y,202500,9000,180000,-11922,Higher education,Laborers,0
324,M,Y,N,225000,34209,468333,-9879,Secondary / secondary special,Laborers,0
325,F,N,Y,112500,23143.5,787086,-21513,Secondary / secondary special,,0
326,F,N,Y,225000,34596,675000,-12748,Secondary / secondary special,Sales staff,1
327,F,N,Y,67500,10125,202500,-21065,Secondary / secondary special,,0
328,M,Y,Y,540000,45234,1255680,-15815,Higher education,Laborers,0
329,F,N,Y,130500,13720.5,173092.5,-12745,Secondary / secondary special,Laborers,0
330,F,N,Y,112500,20673,625536,-17972,Secondary / secondary special,Laborers,0
331,M,Y,Y,112500,13500,270000,-18358,Higher education,Core staff,1
332,F,N,N,112500,19998,679500,-22061,Higher education,,0
333,F,Y,N,189000,47574,479700,-10249,Incomplete higher,,0
334,M,Y,Y,157500,17941.5,167895,-9027,Secondary / secondary special,Core staff,0
335,F,Y,N,360000,51592.5,1354500,-13875,Higher education,Accountants,0
336,M,Y,N,135000,52920,497520,-15970,Higher education,Medicine staff,0
337,F,N,Y,180000,24205.5,823500,-13374,Secondary / secondary special,Laborers,0
338,M,Y,N,234000,22090.5,832500,-15102,Higher education,Accountants,0
339,M,N,Y,135000,27324,450000,-10170,Secondary / secondary special,Low-skill Laborers,0
340,F,N,N,180000,14445,263686.5,-14127,Secondary / secondary special,Accountants,0
341,F,Y,Y,108000,19998,679500,-15089,Secondary / secondary special,Laborers,0
342,F,Y,Y,360000,62019,1971072,-14124,Secondary / secondary special,Laborers,0
343,F,N,N,220500,32458.5,9.00E+05,-14964,Higher education,Low-skill Laborers,0
344,F,N,N,112500,23440.5,835380,-19867,Secondary / secondary special,Sales staff,0
345,F,N,Y,90000,22486.5,241618.5,-20417,Higher education,,0
346,F,Y,N,180000,62568,1800000,-15224,Higher education,,0
347,F,N,Y,202500,35271,886090.5,-20717,Secondary / secondary special,Laborers,0
348,F,N,Y,90000,26154,675000,-11805,Secondary / secondary special,Laborers,0
349,M,Y,Y,135000,8856,119907,-12514,Secondary / secondary special,Drivers,0
350,F,N,Y,67500,9531,225000,-19078,Secondary / secondary special,,0
351,M,N,Y,202500,29821.5,547339.5,-9452,Incomplete higher,Core staff,0
352,F,N,Y,90000,9000,180000,-7859,Secondary / secondary special,Private service staff,0
353,M,N,Y,139500,26572.5,679500,-22306,Higher education,Accountants,0
354,F,N,Y,112500,41787,781920,-23377,Secondary / secondary special,Core staff,0
355,F,Y,Y,157500,11263.5,93829.5,-12719,Higher education,Managers,0
356,M,N,Y,135000,22770,239850,-16521,Higher education,Managers,1
357,M,N,Y,157500,3276,67500,-19006,Secondary / secondary special,High skill tech staff,0
358,M,Y,N,270000,36616.5,1252278,-10915,Higher education,Managers,0
359,F,N,Y,157500,26640,545040,-12563,Secondary / secondary special,Laborers,0
360,F,N,Y,225000,49959,1035738,-19430,Secondary / secondary special,Managers,0
